Vertices, Edges, Average Degree, Graph Name, Tarjan Vishkin, Tarjan Vishkin with Union Find
31379,65910,4.2009,Graphs/graphs//as-caida_G_001.in,99220,65910
31379,66744,4.25406,Graphs/graphs//as-caida_G_002.in,100504,66744
31379,66680,4.24998,Graphs/graphs//as-caida_G_003.in,100052,66680
31379,68670,4.37681,Graphs/graphs//as-caida_G_004.in,103594,68670
31379,70026,4.46324,Graphs/graphs//as-caida_G_005.in,105734,70026
31379,71094,4.53131,Graphs/graphs//as-caida_G_006.in,107578,71094
31379,71658,4.56726,Graphs/graphs//as-caida_G_007.in,108300,71658
31379,72140,4.59798,Graphs/graphs//as-caida_G_008.in,108972,72140
31379,74344,4.73846,Graphs/graphs//as-caida_G_009.in,112994,74344
31379,74994,4.77988,Graphs/graphs//as-caida_G_010.in,113790,74994
31379,75118,4.78779,Graphs/graphs//as-caida_G_011.in,113682,75118
31379,76530,4.87778,Graphs/graphs//as-caida_G_012.in,116060,76530
31379,77002,4.90787,Graphs/graphs//as-caida_G_013.in,116526,77002
31379,75982,4.84286,Graphs/graphs//as-caida_G_014.in,114144,75982
31379,77124,4.91564,Graphs/graphs//as-caida_G_015.in,116070,77124
31379,77860,4.96255,Graphs/graphs//as-caida_G_016.in,117188,77860
31379,79718,5.08098,Graphs/graphs//as-caida_G_017.in,120460,79718
31379,80396,5.12419,Graphs/graphs//as-caida_G_018.in,121354,80396
31379,80970,5.16078,Graphs/graphs//as-caida_G_019.in,122250,80970
31379,80948,5.15937,Graphs/graphs//as-caida_G_020.in,121824,80948
31379,81882,5.2189,Graphs/graphs//as-caida_G_021.in,123078,81882
31379,82138,5.23522,Graphs/graphs//as-caida_G_022.in,123252,82138
31379,83524,5.32356,Graphs/graphs//as-caida_G_023.in,125588,83524
31379,83640,5.33095,Graphs/graphs//as-caida_G_024.in,125504,83640
31379,85850,5.47181,Graphs/graphs//as-caida_G_025.in,129298,85850
31379,85468,5.44746,Graphs/graphs//as-caida_G_026.in,128624,85468
31379,85744,5.46506,Graphs/graphs//as-caida_G_027.in,129026,85744
31379,84962,5.41521,Graphs/graphs//as-caida_G_028.in,127436,84962
31379,86566,5.51745,Graphs/graphs//as-caida_G_029.in,130456,86566
31379,86850,5.53555,Graphs/graphs//as-caida_G_030.in,131016,86850
31379,87232,5.5599,Graphs/graphs//as-caida_G_031.in,131662,87232
31379,87938,5.60489,Graphs/graphs//as-caida_G_032.in,132828,87938
31379,87784,5.59508,Graphs/graphs//as-caida_G_033.in,132474,87784
31379,88490,5.64008,Graphs/graphs//as-caida_G_034.in,133786,88490
31379,87560,5.5808,Graphs/graphs//as-caida_G_035.in,131956,87560
31379,88616,5.64811,Graphs/graphs//as-caida_G_036.in,133918,88616
31379,88654,5.65053,Graphs/graphs//as-caida_G_037.in,133966,88654
31379,88644,5.64989,Graphs/graphs//as-caida_G_038.in,133782,88644
31379,87804,5.59635,Graphs/graphs//as-caida_G_039.in,132142,87804
31379,89658,5.71452,Graphs/graphs//as-caida_G_040.in,135596,89658
31379,88944,5.66901,Graphs/graphs//as-caida_G_041.in,134120,88944
31379,89176,5.6838,Graphs/graphs//as-caida_G_042.in,134552,89176
31379,89678,5.7158,Graphs/graphs//as-caida_G_043.in,135298,89678
31379,89560,5.70828,Graphs/graphs//as-caida_G_044.in,134978,89560
31379,89152,5.68227,Graphs/graphs//as-caida_G_045.in,134134,89152
31379,90172,5.74728,Graphs/graphs//as-caida_G_046.in,135964,90172
31379,90002,5.73645,Graphs/graphs//as-caida_G_047.in,135596,90002
31379,90820,5.78858,Graphs/graphs//as-caida_G_048.in,137102,90820
31379,90784,5.78629,Graphs/graphs//as-caida_G_049.in,136906,90784
31379,90392,5.76131,Graphs/graphs//as-caida_G_050.in,136152,90392
31379,90100,5.74269,Graphs/graphs//as-caida_G_051.in,135290,90100
31379,91100,5.80643,Graphs/graphs//as-caida_G_052.in,137318,91100
31379,90296,5.75519,Graphs/graphs//as-caida_G_053.in,135672,90296
31379,92170,5.87463,Graphs/graphs//as-caida_G_054.in,139138,92170
31379,91476,5.8304,Graphs/graphs//as-caida_G_055.in,137674,91476
31379,92826,5.91644,Graphs/graphs//as-caida_G_056.in,140242,92826
31379,92334,5.88508,Graphs/graphs//as-caida_G_057.in,139200,92334
31379,92170,5.87463,Graphs/graphs//as-caida_G_058.in,138844,92170
31379,93156,5.93747,Graphs/graphs//as-caida_G_059.in,140618,93156
31379,94180,6.00274,Graphs/graphs//as-caida_G_060.in,142526,94180
31379,94386,6.01587,Graphs/graphs//as-caida_G_061.in,142844,94386
31379,93728,5.97393,Graphs/graphs//as-caida_G_062.in,141456,93728
31379,94736,6.03818,Graphs/graphs//as-caida_G_063.in,143176,94736
31379,93558,5.9631,Graphs/graphs//as-caida_G_064.in,140866,93558
31379,95068,6.05934,Graphs/graphs//as-caida_G_065.in,143748,95068
31379,93212,5.94104,Graphs/graphs//as-caida_G_066.in,139932,93212
31379,94484,6.02212,Graphs/graphs//as-caida_G_067.in,142270,94484
31379,93310,5.94729,Graphs/graphs//as-caida_G_068.in,139916,93310
31379,92190,5.8759,Graphs/graphs//as-caida_G_069.in,137602,92190
31379,78684,5.01507,Graphs/graphs//as-caida_G_070.in,111226,78684
31379,96012,6.11951,Graphs/graphs//as-caida_G_071.in,144824,96012
31379,96404,6.14449,Graphs/graphs//as-caida_G_072.in,145542,96404
31379,95554,6.09032,Graphs/graphs//as-caida_G_073.in,143784,95554
31379,97296,6.20134,Graphs/graphs//as-caida_G_074.in,147028,97296
31379,97492,6.21384,Graphs/graphs//as-caida_G_075.in,147218,97492
31379,98178,6.25756,Graphs/graphs//as-caida_G_076.in,148522,98178
31379,98664,6.28854,Graphs/graphs//as-caida_G_077.in,149304,98664
31379,98782,6.29606,Graphs/graphs//as-caida_G_078.in,149454,98782
31379,98392,6.2712,Graphs/graphs//as-caida_G_079.in,148750,98392
31379,98112,6.25335,Graphs/graphs//as-caida_G_080.in,148070,98112
31379,85988,5.48061,Graphs/graphs//as-caida_G_081.in,130166,85988
31379,98400,6.27171,Graphs/graphs//as-caida_G_082.in,148518,98400
31379,98450,6.2749,Graphs/graphs//as-caida_G_083.in,148520,98450
31379,97972,6.24443,Graphs/graphs//as-caida_G_084.in,147412,97972
31379,99166,6.32053,Graphs/graphs//as-caida_G_085.in,149740,99166
31379,99660,6.35202,Graphs/graphs//as-caida_G_086.in,150414,99660
31379,99652,6.35151,Graphs/graphs//as-caida_G_087.in,150324,99652
31379,100366,6.39702,Graphs/graphs//as-caida_G_088.in,151650,100366
31379,101476,6.46777,Graphs/graphs//as-caida_G_089.in,153734,101476
31379,100924,6.43258,Graphs/graphs//as-caida_G_090.in,152552,100924
31379,101654,6.47911,Graphs/graphs//as-caida_G_091.in,153758,101654
31379,101762,6.48599,Graphs/graphs//as-caida_G_092.in,153924,101762
31379,99916,6.36834,Graphs/graphs//as-caida_G_093.in,150214,99916
31379,102476,6.5315,Graphs/graphs//as-caida_G_094.in,155016,102476
31379,102290,6.51965,Graphs/graphs//as-caida_G_095.in,154698,102290
31379,102356,6.52385,Graphs/graphs//as-caida_G_096.in,154534,102356
31379,102212,6.51468,Graphs/graphs//as-caida_G_097.in,154314,102212
31379,102468,6.53099,Graphs/graphs//as-caida_G_098.in,154622,102468
31379,103510,6.59741,Graphs/graphs//as-caida_G_099.in,156492,103510
31379,102888,6.55776,Graphs/graphs//as-caida_G_100.in,155150,102888
31379,103020,6.56617,Graphs/graphs//as-caida_G_101.in,155434,103020
31379,104096,6.63476,Graphs/graphs//as-caida_G_102.in,157490,104096
31379,104634,6.66905,Graphs/graphs//as-caida_G_103.in,158322,104634
31379,104824,6.68116,Graphs/graphs//as-caida_G_104.in,158598,104824
31379,104726,6.67491,Graphs/graphs//as-caida_G_105.in,158500,104726
31379,105092,6.69824,Graphs/graphs//as-caida_G_106.in,159028,105092
31379,105332,6.71353,Graphs/graphs//as-caida_G_107.in,159274,105332
31379,105524,6.72577,Graphs/graphs//as-caida_G_108.in,159656,105524
31379,104802,6.67975,Graphs/graphs//as-caida_G_109.in,157954,104802
31379,104846,6.68256,Graphs/graphs//as-caida_G_110.in,158212,104846
31379,104766,6.67746,Graphs/graphs//as-caida_G_111.in,157934,104766
31379,104730,6.67516,Graphs/graphs//as-caida_G_112.in,157486,104730
31379,105382,6.71672,Graphs/graphs//as-caida_G_113.in,158722,105382
31379,36406,2.32041,Graphs/graphs//as-caida_G_114.in,56774,36406
31379,106312,6.776,Graphs/graphs//as-caida_G_115.in,160348,106312
31379,106578,6.79295,Graphs/graphs//as-caida_G_116.in,160790,106578
31379,106348,6.77829,Graphs/graphs//as-caida_G_117.in,160214,106348
31379,107202,6.83272,Graphs/graphs//as-caida_G_118.in,161890,107202
31379,106462,6.78556,Graphs/graphs//as-caida_G_119.in,160188,106462
31379,106510,6.78862,Graphs/graphs//as-caida_G_120.in,160268,106510
31379,106762,6.80468,Graphs/graphs//as-caida_G_121.in,160576,106762
31379,105722,6.73839,Graphs/graphs//as-caida_G_122.in,158668,105722
31379,106762,6.80468,Graphs/graphs//as-caida.in,160576,106762
2000,19990,19.99,Graphs/graphs//G22.in,37959,19989
2000,19990,19.99,Graphs/graphs//G23.in,37958,19989
2000,19990,19.99,Graphs/graphs//G24.in,37961,19989
2000,19990,19.99,Graphs/graphs//G25.in,37961,19989
2000,19990,19.99,Graphs/graphs//G26.in,37962,19989
2000,19990,19.99,Graphs/graphs//G27.in,37959,19989
2000,19990,19.99,Graphs/graphs//G28.in,37958,19989
2000,19990,19.99,Graphs/graphs//G29.in,37961,19989
2000,19990,19.99,Graphs/graphs//G30.in,37961,19989
2000,19990,19.99,Graphs/graphs//G31.in,37962,19989
2000,4000,4,Graphs/graphs//G32.in,5901,3999
2000,4000,4,Graphs/graphs//G33.in,5921,3999
2000,4000,4,Graphs/graphs//G34.in,5951,3999
2000,11778,11.778,Graphs/graphs//G35.in,21480,11777
2000,11766,11.766,Graphs/graphs//G36.in,21432,11765
2000,11785,11.785,Graphs/graphs//G37.in,21454,11784
2000,11779,11.779,Graphs/graphs//G38.in,21522,11778
2000,11778,11.778,Graphs/graphs//G39.in,21480,11777
2000,11766,11.766,Graphs/graphs//G40.in,21432,11765
2000,11785,11.785,Graphs/graphs//G41.in,21454,11784
2000,11779,11.779,Graphs/graphs//G42.in,21522,11778
1000,9990,19.98,Graphs/graphs//G43.in,18966,9989
1000,9990,19.98,Graphs/graphs//G44.in,18952,9989
1000,9990,19.98,Graphs/graphs//G45.in,18965,9989
1000,9990,19.98,Graphs/graphs//G46.in,18960,9989
1000,9990,19.98,Graphs/graphs//G47.in,18960,9989
3000,6000,4,Graphs/graphs//G48.in,8951,5999
3000,6000,4,Graphs/graphs//G49.in,8971,5999
3000,6000,4,Graphs/graphs//G50.in,8975,5999
1000,5909,11.818,Graphs/graphs//G51.in,10680,5908
1000,5916,11.832,Graphs/graphs//G52.in,10703,5915
1000,5914,11.828,Graphs/graphs//G53.in,10693,5913
1000,5916,11.832,Graphs/graphs//G54.in,10697,5915
5000,12498,4.9992,Graphs/graphs//G55.in,19785,12302
5000,12498,4.9992,Graphs/graphs//G56.in,19785,12302
5000,10000,4,Graphs/graphs//G57.in,14901,9999
5000,29570,11.828,Graphs/graphs//G58.in,53948,29569
5000,29570,11.828,Graphs/graphs//G59.in,53948,29569
7000,17148,4.89943,Graphs/graphs//G60.in,26832,16861
7000,17148,4.89943,Graphs/graphs//G61.in,26832,16861
7000,14000,4,Graphs/graphs//G62.in,20901,13999
7000,41459,11.8454,Graphs/graphs//G63.in,75494,41458
7000,41459,11.8454,Graphs/graphs//G64.in,75494,41458
8000,16000,4,Graphs/graphs//G65.in,23901,15999
9000,18000,4,Graphs/graphs//G66.in,26911,17999
10000,20000,4,Graphs/graphs//G67.in,29901,19999
1096,1677,3.06022,Graphs/graphs//GD96_a.in,1576,1319
100000,501198,10.024,Graphs/graphs//G_n_pin_pout.in,902341,501144