Vertices, Edges, Average Degree, Tarjan Vishkin, Tarjan Vishkin with Union Find, Tarjan Vishkin Parallel, Tarjan Vishkin Parallel with Union Find
50000,50000,2,0.0655321,0.0659054,0.0688328,0.0700375
50000,60000,2.4,0.120109,0.120103,0.124543,0.124734
50000,70000,2.8,0.125982,0.124567,0.131168,0.130542
50000,80000,3.2,0.131334,0.129274,0.137495,0.136394
50000,90000,3.6,0.142142,0.13917,0.149235,0.147597
50000,100000,4,0.154358,0.14982,0.162703,0.159561
50000,110000,4.4,0.161652,0.156188,0.171334,0.167682
50000,120000,4.8,0.171397,0.165505,0.181752,0.1761
50000,130000,5.2,0.231612,0.189822,0.210035,0.22148
50000,140000,5.6,0.209534,0.199427,0.221002,0.213909